"__v",_id,coordinates,createdAt,geo,hashtags.0.indices.0,hashtags.0.indices.1,hashtags.0.text,hashtags.1.indices.0,hashtags.1.indices.1,hashtags.1.text,place.attributes,place.bounding_box.coordinates.0.0.0,place.bounding_box.coordinates.0.0.1,place.bounding_box.coordinates.0.1.0,place.bounding_box.coordinates.0.1.1,place.bounding_box.coordinates.0.2.0,place.bounding_box.coordinates.0.2.1,place.bounding_box.coordinates.0.3.0,place.bounding_box.coordinates.0.3.1,place.bounding_box.type,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,place.url,text,tweetId,user.location,user.name,user.screenName
0,5adad807ccead8d725234590,,2018-04-21T06:19:50.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"@carienduplessis @TanaForum @DrAbiyAhmedAli And get to a their well known bar, name escapes me, to watch, join in w… https://t.co/mhlj3CbIL6",987576627247960060.0,Location - good ole RSA,Gary Bing,garybing
0,5adad809ccead8d72523459e,,2018-04-21T06:19:51.000Z,,80,93,ProRelforUSA,,,,,,,,,,,,,,,,,,,,,"If you don’t care that much either way, probably best to stay out of the way. \n\n#ProRelforUSA https://t.co/PDYPwhfgrS",987576631358189570.0,"#ProRelforUSA",Ted Westervelt,soccerreform
0,5adad809ccead8d7252345a0,,2018-04-21T06:19:51.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @KunjaloD: I didn’t want to tweet politics today, until this smart beautiful woman’s intervention captured me! https://t.co/7Qbsu6Z498",987576631815540740.0,"Sharpeville, South Africa",phoetic masilo,Hluganati
0,5adad809ccead8d7252345a3,,2018-04-21T06:19:52.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @thebradfordfile: Dear Governor Cuomo:\n\nYou are not a Muslim. You are not a Jew. You are not Black. You are not gay. You are not a woman…,987576632469741570.0,Montana,Montana Trumpette,PatsyEpps
0,5adad809ccead8d7252345a7,,2018-04-21T06:19:52.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @IanDunt: If you want the reality of what Russia does, rather than Emily Thornberry's obedient version, read this forensic dissection of…",987576632566321150.0,UK,Phil Harrison #FBPE #OFAB,OldGitPhil
0,5adad809ccead8d7252345a9,,2018-04-21T06:19:52.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @mattmfm: It's about time. https://t.co/v8HDiM56vm,987576632859820030.0,,RHR,bobbirettig
0,5adad809ccead8d7252345ad,,2018-04-21T06:19:52.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @shea_buttuhhh: She's not dumb. She doesn't know much about politics and economics because she's not interested in them. Maybe she's mor…,987576633593917440.0,"Klerksdorp, South Africa.",👑,shea_buttuhhh
0,5adad80accead8d7252345ba,,2018-04-21T06:19:53.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @essenviews: Appeals Court: Trump Administration Can't Block Funds For Sanctuary Cities. The court upheld an injunction stopping the Jus…,987576637188378620.0,Seefeld i.T./Lübeck Schl-Holst,Thomas*RN*,tomtgr561
0,5adad80accead8d7252345be,,2018-04-21T06:19:53.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @RealJamesWoods: Your corruption was not a flesh wound,  but a systemic rot of your entire being. YOU were never going to let you be pre…",987576637490266110.0,"Tir Na Og,  So.Calif.USA",John Maley,weejockmaley
0,5adad80accead8d7252345c5,,2018-04-21T06:19:53.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @HackneyAbbott: So Guardian reveals that @AmberRuddHR diverted money from crime-fighting to deport more migrants, only to see violent cr…",987576640052973570.0,The Bermuda Triangle,Illogicalzen,Illogicalzen
0,5adad80accead8d7252345c8,,2018-04-21T06:19:54.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @MaddowBlog: ""Keith Davidson, the former attorney for two women who were paid to keep quiet about their alleged affairs with Donald Trum…",987576640514478080.0,United Kingdom,Lucy Lastic,loosie_lastic
0,5adad80bccead8d7252345cd,,2018-04-21T06:19:54.000Z,,,,,,,,,,,,,,,,,,,,,,,,,This is how bjp in karnataka is gathering votes. Not roads. Not schools. Not safety. But Hindu Vs Muslims… https://t.co/crXLwCaryr,987576642770890750.0,"Bengaluru, India",Srikanth Mohan,SrikanthTMohan
0,5adad80cccead8d7252345d4,,2018-04-21T06:19:55.000Z,,58,67,walkouts,86,93,school,,,,,,,,,,,,,,,,,,RT @USAloveGOD: @thebradfordfile @TheView Enough with the #walkouts.   My kids are in #school to learn! #Teachers are there to teach curric…,987576646692753410.0,England,Duncan Hughes,DuncanHughes62
0,5adad80cccead8d7252345da,,2018-04-21T06:19:56.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @JohnWDean: Rudy’s promise to end the Mueller investigation in weeks shows he has not practiced law in several decades. Count on it: Rud…,987576648986963970.0,Delaware,Bolts30,Bolts30
